Text,Prediction,Actual
mega munch,Pizza,Fish & Chips
silver end fish bar,Fish & Chips,Pizza
leeroy's,Fish & Chips,Kebab
harrietts portsmouth,Indian,Desserts
sundae sesh,Chinese,Desserts
tasty links,Chinese,Kebab
113 fish bar,Fish & Chips,Chinese
beirut,Chinese,Kebab
chaskara,Indian,Pizza
korean barbecue,Kebab,Chinese
andreas kebabs and pizzeria,Fast Food,Kebab
munchies grill,Kebab,Desserts
bodega grill,Kebab,Fish & Chips
bunnys bakery,Sand/Caf/Bake,Desserts
nazar restaurant and takeaway,Indian,Kebab
uncle kams,Chicken,Fish & Chips
majestic 5 food services,Kebab,Fish & Chips
anns fry fish and chip shopxxunk pizzas and kebabs,Fish & Chips,Fast Food
gina's old kent bakery,Sand/Caf/Bake,Desserts
grill and bake,Kebab,Fast Food
bbq hut,Kebab,Chicken
essy's restaurant,Kebab,Sand/Caf/Bake
flavour,Kebab,Sand/Caf/Bake
maxim,Pizza,Chinese
adlington mama mia,Pizza,Kebab
mansion fish bar,Fish & Chips,Kebab
must eat,Indian,Kebab
mr v's fast food,Fast Food,Fish & Chips
beano's,Pizza,Kebab
dreams grill house,Kebab,Sand/Caf/Bake
aroma hut,Chicken,Chinese
pete's pantry,Fast Food,Sand/Caf/Bake
j and l takeaway,Fish & Chips,Sand/Caf/Bake
caffe creme,Desserts,Sand/Caf/Bake
after taste,Desserts,Chinese
tuk tuk cafe,Sand/Caf/Bake,Chinese
havana's,Indian,Sand/Caf/Bake
piccolos,Pizza,Chicken
jimmy's kitchen,Sand/Caf/Bake,Chicken
the victory,Fish & Chips,Chinese
elsha delight,Indian,Sand/Caf/Bake
embers,Sand/Caf/Bake,Fish & Chips
rock of virtue eat out,Indian,Fish & Chips
wee fatty's,Chinese,Sand/Caf/Bake
kirsten's,Kebab,Sand/Caf/Bake
zima - soho,Indian,Sand/Caf/Bake
flamers peri peri @ harrowden fisheries,Fish & Chips,Chicken
texas,Sand/Caf/Bake,Chicken
charlies kitchen,Sand/Caf/Bake,Kebab
maanek's,Chicken,Indian
on ur mark's,Fish & Chips,Sand/Caf/Bake
lovedixy.com,Pizza,Chicken
best in town,Pizza,Kebab
king grill,Kebab,Chicken
zaps burrito bar durham,Indian,Chicken
spitroast,Indian,Chicken
napoli,Pizza,Kebab
nice nosh,Indian,Sand/Caf/Bake
the hodgepodge catering,Sand/Caf/Bake,Desserts
eddies,Indian,Chinese
beckfield,Sand/Caf/Bake,Chinese
the square bar and grill,Desserts,Kebab
char char grills,Kebab,Chicken
graze inn,Indian,Chicken
las lounge,Indian,Desserts
wayann's restaurant and bar,Indian,Chicken
koop and kraft,Desserts,Chicken
the bakery,Sand/Caf/Bake,Desserts
jay jays,Indian,Fish & Chips
banh mi bay,Chicken,Sand/Caf/Bake
eddy's,Desserts,Chicken
penang,Chinese,Indian
drums and flats @ boxpark,Sand/Caf/Bake,Chicken
vitto pizzeria,Pizza,Kebab
dante's fishxxunk chips and kebab,Fish & Chips,Kebab
the frying king,Fish & Chips,Pizza
ackie's,Desserts,Fish & Chips
marine ices,Chinese,Desserts
custard,Indian,Desserts
goody cupboard,Sand/Caf/Bake,Desserts
genie,Chinese,Chicken
tavassoli's cafexxunk bar and grill,Indian,Sand/Caf/Bake
brixham grill,Kebab,Fish & Chips
funky burgoo,Chinese,Fast Food
mighty mo's cafe (new),Kebab,Sand/Caf/Bake
mcneil's,Desserts,Chicken
sofia's fish bar - pizza and kebab house,Fish & Chips,Fast Food
homemade and handmade,Chinese,Sand/Caf/Bake
only eggless,Sand/Caf/Bake,Desserts
slurp,Indian,Chinese
shan's dinemo,Chinese,Sand/Caf/Bake
junakees,Indian,Chicken
hpk,Chinese,Kebab
sweet panda,Chinese,Desserts
amelia's,Pizza,Kebab
bella house,Pizza,Chinese
chilli and pepper,Indian,Pizza
la riviera,Pizza,Fish & Chips
de roma,Sand/Caf/Bake,Kebab
chef cafe bistro and restaurant,Sand/Caf/Bake,Kebab
sizzlers wednesbury,Indian,Fish & Chips
sea breeze,Fish & Chips,Chinese
yahgo,Chinese,Desserts
aunty's express finsbury park,Indian,Chicken
moli tea house,Pizza,Chinese
poppy's 3,Fish & Chips,Chinese
bannerman's,Pizza,Chicken
tastie 2,Indian,Fish & Chips
blue bell,Fish & Chips,Chinese
chilli sizzlers,Indian,Kebab
superios,Pizza,Chicken
king's kitchen,Chinese,Sand/Caf/Bake
nitten food box,Sand/Caf/Bake,Fish & Chips
santu's plaza,Pizza,Kebab
sam of aylesbury,Indian,Kebab
fatty owls,Pizza,Sand/Caf/Bake
toast 2 roast,Pizza,Sand/Caf/Bake
adil's kebabish,Indian,Kebab
spud and dawg,Sand/Caf/Bake,Desserts
melted,Indian,Sand/Caf/Bake
nemo's grill,Kebab,Fish & Chips
urban feast,Indian,Chicken
mina's caribbean,Chicken,Desserts
la pia @ the shakespeare barbican,Desserts,Pizza
charco grill,Kebab,Chicken
deli grill,Kebab,Chicken
the tasty's,Sand/Caf/Bake,Chicken
frost,Pizza,Desserts
cafe chino,Fish & Chips,Chinese
patty n punch,Pizza,Fast Food
mimis african restaurant and bar,Fast Food,Chicken
the good stuff,Sand/Caf/Bake,Pizza
let's taste it,Desserts,Chicken
first stop,Pizza,Sand/Caf/Bake
piggy's,Indian,Sand/Caf/Bake
the avenue,Sand/Caf/Bake,Chinese
munch restaurant,Indian,Chicken
moonlight grill,Chicken,Kebab
kings flavour,Kebab,Chicken
the crust,Sand/Caf/Bake,Fish & Chips
best roaster grill cafe,Chicken,Sand/Caf/Bake
golden chick,Chinese,Kebab
comiston cino's,Pizza,Fish & Chips
bonfire grill,Kebab,Chicken
ozutz,Pizza,Kebab
l'aquila city centre,Pizza,Fish & Chips
le cochonnet restaurant,Chinese,Pizza
food for thought,Chinese,Sand/Caf/Bake
slemani restaurant,Indian,Kebab
aksular restaurant,Indian,Kebab
flames gourmet kitchen,Chinese,Chicken
la poire,Pizza,Kebab
meltmongers,Indian,Sand/Caf/Bake
howdyz,Pizza,Chicken
rockin rolls,Chicken,Sand/Caf/Bake
mr fredy's,Sand/Caf/Bake,Kebab
zam zam kebabish,Indian,Kebab
sdeen kebabish,Indian,Kebab
dino's,Pizza,Fish & Chips
freddy's,Pizza,Chicken
lebaneat wrap house,Kebab,Sand/Caf/Bake
skippers,Kebab,Fish & Chips
dum dum donuterrie - wandsworth,Chinese,Desserts
flame grill and dessert,Kebab,Desserts
orpington express,Pizza,Kebab
sanam kebabish,Indian,Kebab
goldstar cafe,Sand/Caf/Bake,Fish & Chips
chicagos,Pizza,Chicken
the square bistro,Desserts,Sand/Caf/Bake
eglefino,Pizza,Fish & Chips
tom bell,Chinese,Fish & Chips
winstons,Chinese,Fish & Chips
miss pennies,Desserts,Chicken
parks takeaway,Kebab,Chinese
artemis,Sand/Caf/Bake,Kebab
big chef takeaway,Chinese,Kebab
safah's,Indian,Kebab
brgrbro treats,Sand/Caf/Bake,Desserts
kebabish,Indian,Kebab
2nd home,Chinese,Sand/Caf/Bake
minted lounge,Indian,Pizza
pete's,Pizza,Sand/Caf/Bake
new shack,Sand/Caf/Bake,Pizza
caspari express,Desserts,Pizza
crunch munch,Desserts,Chicken
andreas takeaway,Pizza,Kebab
arbeez,Pizza,Chicken
bite 2 eat,Sand/Caf/Bake,Indian
bravissimixxunk,Fish & Chips,Pizza
dino's too,Pizza,Fish & Chips
m and m,Pizza,Kebab
mc tuckys hut,Chicken,Kebab
marios kebab house,Kebab,Fish & Chips
dragon,Indian,Chinese
peppers city takeout,Kebab,Chicken
sophie's express,Sand/Caf/Bake,Kebab
dar's grill,Kebab,Indian
the wee roll shop,Desserts,Sand/Caf/Bake
jesters diner,Kebab,Sand/Caf/Bake
el botellon latino restaurant,Pizza,Sand/Caf/Bake
chez plume,Pizza,Chicken
fattoush,Pizza,Kebab
stanleys,Chicken,Sand/Caf/Bake
zinger munch,Pizza,Chicken
mog's,Desserts,Sand/Caf/Bake
jamaica way,Pizza,Chicken
grab and go,Indian,Sand/Caf/Bake
devine delights,Indian,Sand/Caf/Bake
cheeky joes,Pizza,Desserts
momo house,Chinese,Indian
zanzibraai bbq grill house,Indian,Kebab
ben's kitchen,Chinese,Sand/Caf/Bake
hertford star,Pizza,Kebab
dome kitchen,Chinese,Sand/Caf/Bake
angie's jamaican cuisine,Sand/Caf/Bake,Chicken
bravo restaurant and cafe,Sand/Caf/Bake,Indian
e mono,Pizza,Kebab
two chefs,Chinese,Indian
casanova's,Pizza,Kebab
rock and rolla,Sand/Caf/Bake,Fish & Chips
the base,Sand/Caf/Bake,Desserts
sonny's street food,Sand/Caf/Bake,Chinese
h and h,Pizza,Kebab
nibbles,Desserts,Pizza
roma and shakes,Desserts,Pizza
sky high fish bar,Fish & Chips,Chinese
banjos,Pizza,Chicken
pontygwindy cafe,Sand/Caf/Bake,Pizza
romford delight,Desserts,Kebab
espresso,Pizza,Sand/Caf/Bake
west bars,Chinese,Fish & Chips
chivitos kebabsxxunk fish and chips,Fish & Chips,Kebab
dzrt.inc,Pizza,Desserts
eggham on toast,Chinese,Sand/Caf/Bake
tasty town kitchen,Chinese,Sand/Caf/Bake
the griddle,Kebab,Chicken
the double diner,Sand/Caf/Bake,Indian
perfect cafe and shake,Desserts,Sand/Caf/Bake
chkn station,Chinese,Chicken
fizz and fin,Pizza,Fish & Chips
desy,Indian,Kebab
sandros,Kebab,Fish & Chips
sauce warrior,Chicken,Chinese
two camberwell grill ltd,Kebab,Chicken
hookways,Chinese,Kebab
mr homebake,Desserts,Sand/Caf/Bake
the meating,Desserts,Indian
hot favourite,Pizza,Chicken
deleos,Pizza,Sand/Caf/Bake
the square cafe,Desserts,Sand/Caf/Bake
ice stone wolverhampton,Pizza,Desserts
josh,Kebab,Indian
carp and trout,Sand/Caf/Bake,Fish & Chips
adore takeaway,Pizza,Kebab
big chef,Chinese,Pizza
viking land,Chinese,Kebab
the signature kitchen,Chinese,Kebab
munchies,Desserts,Pizza
chelmsford takeaway.com,Chinese,Pizza
brixton kebabish,Indian,Kebab
woodbridge zorbas pizzeria,Pizza,Kebab
dessert and breakfast corner,Sand/Caf/Bake,Desserts
parrot bay,Chicken,Indian
beryl's 3,Pizza,Sand/Caf/Bake
harmony,Pizza,Chinese
sufi's,Indian,Kebab
darcey's,Fish & Chips,Sand/Caf/Bake
barbel,Pizza,Fish & Chips
the grill inn and shawarma king,Indian,Kebab
chunkys,Pizza,Chicken
jilly's homebake,Sand/Caf/Bake,Desserts
muncheez,Chicken,Pizza
acropolis,Pizza,Kebab
taste 2,Indian,Chinese
best of british,Indian,Fish & Chips
ipswich grill,Kebab,Chicken
jazzgir,Pizza,Kebab
freshly bistro,Sand/Caf/Bake,Pizza
golden flames,Chinese,Pizza
petra'z,Kebab,Pizza
gobblers,Sand/Caf/Bake,Desserts
new sherwood,Chinese,Fish & Chips
grillers,Chicken,Kebab
sizzlers st. helens,Pizza,Chicken
thyme square cafe,Desserts,Sand/Caf/Bake
barracuda,Indian,Fish & Chips
kebabish margate,Indian,Kebab
d'zerts,Kebab,Desserts
la crema peri peri grill house,Pizza,Kebab
jutt's food xpress,Chicken,Indian
movie foods blyth,Indian,Desserts
babbo glasgow,Indian,Pizza
mr doner,Kebab,Pizza
casa grill,Pizza,Kebab
d'amico's,Pizza,Kebab
jay's kitchen,Sand/Caf/Bake,Chicken
kings kebab fish and chips and pizza house,Fish & Chips,Fast Food
my cuisine,Chicken,Pizza
piano take away,Pizza,Fish & Chips
emmas,Indian,Kebab
mancini's street food,Pizza,Fish & Chips
chunky steak house,Chicken,Pizza
family kebab fish and chips,Fish & Chips,Kebab
fatti mama,Pizza,Chinese
hardee'z gourmet grill,Kebab,Chicken
the roll man,Fish & Chips,Sand/Caf/Bake
310 the deansgate,Sand/Caf/Bake,Indian
monzas place,Fish & Chips,Indian
rowditch kitchen british takeaway,Sand/Caf/Bake,Fish & Chips
bebs kitchen,Sand/Caf/Bake,Indian
northern bites,Sand/Caf/Bake,Pizza
chinchilla,Chinese,Pizza
oasis fastfood,Fish & Chips,Indian
delicious dishes,Desserts,Sand/Caf/Bake
petra,Kebab,Pizza
uncle tony's taverna,Pizza,Kebab
sandro's,Pizza,Fish & Chips
ecs takeaway,Fish & Chips,Kebab
taste of kabul,Indian,Kebab
delicious donner,Pizza,Kebab
the casba,Pizza,Kebab
tasty bitez,Chicken,Kebab
n.j. food street,Sand/Caf/Bake,Pizza
wombwell express,Chinese,Pizza
ddk,Indian,Kebab
dina zone,Indian,Chinese
gourmet on the hill,Pizza,Sand/Caf/Bake
taste and smile,Indian,Pizza
adils cafe and shawarma,Kebab,Sand/Caf/Bake
fil fil - takeaway,Fish & Chips,Kebab
black stone grill and thai,Kebab,Chinese
shiraz grill,Indian,Pizza
cadora cafe,Sand/Caf/Bake,Fish & Chips
the rainbow,Chinese,Fish & Chips
proper roast,Indian,Sand/Caf/Bake
fusion foods,Chinese,Indian
cambridge gourmet grill,Kebab,Pizza
kenny's hen house,Chinese,Chicken
mo-jo,Chinese,Pizza
veggie lounge,Indian,Pizza
forcello mediterranean kitchen,Pizza,Kebab
brothf,Chinese,Sand/Caf/Bake
lemons,Chinese,Pizza
taste delicious,Indian,Chinese
caspian takeaway,Pizza,Kebab
supperbowl eliburn,Chinese,Fish & Chips
chicko's,Chicken,Pizza
marmaris fenton,Fish & Chips,Kebab
tse's,Desserts,Chinese
mary gold,Sand/Caf/Bake,Indian
ramin,Indian,Kebab
the cousins,Sand/Caf/Bake,Pizza
the works,Fish & Chips,Desserts
wishing well bistro,Chinese,Sand/Caf/Bake
l lover,Desserts,Pizza
mix grill and steak house,Kebab,Pizza
hot rocks,Pizza,Chicken
fernandez grillhouse,Kebab,Chicken
sunny bank stop inn,Chinese,Pizza
angel house,Sand/Caf/Bake,Chinese
toranj,Pizza,Kebab
doner daddy,Pizza,Kebab
kitchen rules - greek street food,Sand/Caf/Bake,Kebab
peppermill,Kebab,Pizza
wraps,Sand/Caf/Bake,Kebab
sensations,Chinese,Indian
pari takeaway,Pizza,Fish & Chips
la zara,Pizza,Kebab
bilston house,Pizza,Chinese
toppings takeaway,Pizza,Kebab
spaghetti tree,Indian,Pizza
peri planet,Chicken,Pizza
zhe german doner and shake,Desserts,Kebab
tasty food,Chicken,Pizza
yogland,Pizza,Desserts
02 spice fast food,Indian,Fast Food
grill and roti junction,Indian,Pizza
coco beanz,Pizza,Sand/Caf/Bake
stars house grill,Kebab,Pizza
the eastern,Indian,Chinese
wenzel's,Desserts,Sand/Caf/Bake
maeme's,Pizza,Chicken
the star grill,Kebab,Pizza
filey stone bake,Sand/Caf/Bake,Pizza
monti's,Pizza,Indian
favorable,Pizza,Chicken
fuel,Desserts,Sand/Caf/Bake
legends,Chinese,Desserts
grill'o kingston,Kebab,Chicken
gourmet cafe and grill,Kebab,Sand/Caf/Bake
furama,Indian,Chinese
tito's,Pizza,Chicken
richoux port solent,Chinese,Pizza
barony bistro,Chicken,Sand/Caf/Bake
melt bitz,Pizza,Desserts
a and g kitchen,Sand/Caf/Bake,Chinese
grillz,Kebab,Chicken
sachi's,Kebab,Indian
caspian grill,Pizza,Kebab
peppers takeaway,Kebab,Indian
movie foods cramlington,Indian,Desserts
brynmill fast food,Fast Food,Fish & Chips
caspers restaurant,Kebab,Pizza
champagne express,Chinese,Indian
the destination @ ghost bikes,Desserts,Sand/Caf/Bake
takeaway 4 u,Indian,Kebab
hanley flames,Indian,Pizza
bird is the word,Sand/Caf/Bake,Chicken
zucca cafe and restaurant,Sand/Caf/Bake,Pizza
travancore,Pizza,Indian
junction1ten,Pizza,Chicken
cluck n crust,Sand/Caf/Bake,Chicken
moonlight,Desserts,Indian
hot peppers,Kebab,Indian
mobay delight,Indian,Desserts
holy cow,Chinese,Indian
enfes,Sand/Caf/Bake,Kebab
the friars grill by lilypops,Chicken,Fish & Chips
k2 havelock,Pizza,Fish & Chips
dory's,Pizza,Sand/Caf/Bake
the old rolling pin,Chinese,Sand/Caf/Bake
pasam restaurant,Indian,Kebab
gibbo's ringside bistro @ coh,Fish & Chips,Sand/Caf/Bake
retreat,Pizza,Desserts
horse and jockey,Pizza,Sand/Caf/Bake
the chequers restaurant,Indian,Pizza
ostro,Pizza,Chicken
3 chefs,Pizza,Indian
caspian ltd,Indian,Kebab
appetite junction,Sand/Caf/Bake,Pizza
pan master,Chinese,Indian
fat tony's,Pizza,Fish & Chips
efes take away,Kebab,Pizza
choices fish bar,Fish & Chips,Chinese
rio's gourmet grill @ arabian nights,Kebab,Chicken
casa pizza and curry ii,Pizza,Indian
jon smith subs,Chinese,Sand/Caf/Bake
zamzam grill house,Chicken,Indian
chubby,Chinese,Pizza
paradise donner,Pizza,Kebab
de niros,Kebab,Pizza
mac grill and cafe,Kebab,Sand/Caf/Bake
mama's pita,Chicken,Kebab
leo's,Pizza,Fish & Chips
base express,Pizza,Kebab
crazy pepper,Pizza,Kebab
energyze kitchen,Chinese,Sand/Caf/Bake
epirus mediterranean cuisine,Kebab,Pizza
shaks deli house,Desserts,Sand/Caf/Bake
grill,Kebab,Chicken
tickhill grill,Chicken,Pizza
marmaris takeaway,Fish & Chips,Pizza
grill bros,Kebab,Chicken
only food and sauces,Indian,Sand/Caf/Bake
pies's the limit,Sand/Caf/Bake,Fast Food
vegas green bay,Fish & Chips,Pizza
marmaris grill,Fish & Chips,Kebab
frankyz,Chicken,Pizza
la orient (ctw catering limited),Pizza,Chinese
bar bq 2 night,Kebab,Pizza
ocean star,Fish & Chips,Chinese
the hot hut,Chicken,Indian
rangoes grill,Chicken,Kebab
pepper grill - woburn sands,Chicken,Kebab
jerry's,Pizza,Kebab
chai street,Chinese,Indian
the corner plaice,Fast Food,Fish & Chips
eatfresh,Fish & Chips,Sand/Caf/Bake
eastern promise,Chinese,Indian
ceasars kitchen,Chinese,Pizza
thunder road kitchen,Indian,Sand/Caf/Bake
prego restaurant,Chinese,Pizza
dino's takeaway,Pizza,Fish & Chips
